Provider Name,Affiliation,Operation Type,FRN,Provider ID
"@Link Services, LLC","AtLink Services, LLC",Non-ILEC,0016085920,290004
1 Point Communications,1 Point Communications,Non-ILEC,0021352968,270002
101Netlink,101Netlink,Non-ILEC,0018247254,190002
"123.Net, Inc","123.Net, Inc.",Non-ILEC,0008590846,460000
"1stel, Inc","1stel, Inc.",Non-ILEC,0008181448,190003
"1stPoint Communications, LLC",Hammer Technology Holdings,Non-ILEC,0021882451,220024
207 Broadband,207 Broadband,Non-ILEC,0027249895,410130
"2125 Cable Company, LLC - dba Sunrise Communications, LLC","Sunrise Communications, LLC",Non-ILEC,0016876096,420122
"24-7 Telcom, Inc.","West Wisconsin Telcom Cooperative, Inc.",Non-ILEC,0003774429,131467
2Talk LLC,2Talk LLC,Non-ILEC,0018932590,410000
"3 Rivers Telephone Cooperative, Inc. d/b/a 3 Rivers Communications","3 Rivers Telephone Cooperative, Inc.",ILEC,0001646454,130002
3 Rooms Communications LLC,3 Rooms Communications LLC,Non-ILEC,0019599901,210001
318 HighSpeed LLC,318 HighSpeed LLC,Non-ILEC,0028617330,410131
"360 Communications, INC","360 Communications, Inc. (OK, AR & TX)",Non-ILEC,0023618648,460099
"360 Communications, LLC","360 Communications, LLC (OR & WA)",Non-ILEC,0016912354,250003
360TechLLC dba Brewtech,"360 Tech, LLC",Non-ILEC,0031332596,450176
365 IT Consulting LLC,365 IT Consulting LLC,Non-ILEC,0032554396,460500
3E8 Broadband Solutions,Craighead Elecric Cooperative Corporation,Non-ILEC,0027362102,410153
4 SIWI LLC,4 SIWI LLC,Non-ILEC,0018940627,190501
"4-County Fiber, LLC","4-County Fiber, LLC",Non-ILEC,0030289946,440004
4ip Technology,4ip Technology and Media LLC,Non-ILEC,0025529751,410132
4NET INC,4NET Inc.,Non-ILEC,0027310234,430224
4Voice LLC,4Voice LLC,Non-ILEC,0021311154,460501
"600Amps Internet Services, Inc.","600Amps Internet Services, Inc.",Non-ILEC,0027256056,370004
805VoIP LLC,805VoIP LLC,Non-ILEC,0029550639,430182
"844SpeakEZ, LLC",844SpeakEZ LLC,Non-ILEC,0031335128,450005
"8x8, Inc.","8x8, Inc.",Non-ILEC,0007099773,190004
"903 Broadband, Inc","903 Broadband, Inc.",Non-ILEC,0025112707,420000
9171-5573 Quebec Inc,"9171-5573 Quebec, Inc.",Non-ILEC,0022699458,450006
9Stone LLC,"9Stone, LLC",Non-ILEC,0030873103,450007
A & A Communications,A&A Communications LLC,Non-ILEC,0021162268,390001
A.C.T.S LLC,A.C.T.S LLC,Non-ILEC,0032852519,370005
A.T.C. Voice Data Inc.,ATC Voice Data Inc.,Non-ILEC,0031776164,460508
"A+ Wireless, Inc. d/b/a Advantage Wireless","A+ Wireless, Inc.",Non-ILEC,0004529293,220002
"A3 Communications, Inc.","A3 Communications, Inc.",Non-ILEC,0019257575,450008
AAA American Leasing LLC,"AAA American Leasing, LLC",Non-ILEC,0032868853,480001
Aaroband,AaroBand,Non-ILEC,0030716849,460637
Acadiana Broadband,Acadiana Broadband,Non-ILEC,0022912273,390002
Acadiana Wireless LLC.,Acadiana Wireless LLC,Non-ILEC,0018565416,380003
Accelecom GA LLC,Accelecom GA LLC,Non-ILEC,0032516692,470092
"Accent Communication Services, Inc.Accent Information Systems","Accent Communication Services, Inc.",Non-ILEC,0022415970,320122
"Access Cable Television, Inc.","Access Cable Television, Inc.",Non-ILEC,0008424194,140001
"Access One, Inc.","Access One, Inc.",Non-ILEC,0018602458,190009
Access Technologies dba Access Systems,Access Technologies,Non-ILEC,0023235385,390003
Accessline Communications Corporation,Intermedia Cloud Communications,Non-ILEC,0015982366,190010
Accipiter Communications Inc DBA Zona Communications,Wyyerd Group LLC,ILEC,0004269833,450174
Accoona Global LLC,Accoona Global LLC,Non-ILEC,0023069875,370006
"Accounting Systems, Inc.","Accounting Systems, Inc.",Non-ILEC,0030691893,450009
"Ace Link Telecommunication, Inc.",Ace Telephone Association,Non-ILEC,0002626984,130008
Ace Telephone Association,Ace Telephone Association,ILEC,0002645927,130008
Ace Telephone Company of Michigan Inc,Ace Telephone Association,ILEC,0002756187,130008
ACL Telecom LLC,ACL Telecom LLC,Non-ILEC,0031787120,470000
"Acme Communications, Inc.","Acme Communications, Inc.",Non-ILEC,0008814782,300005
"ACN Communication Services, LLC","LKN Communications, Inc.",Non-ILEC,0004328340,130009
ACP CreativIT LLC,ACP CreativIT LLC,Non-ILEC,0031811326,460503
Acrospire Networks,"Acrospire Networks, LLC",Non-ILEC,0030610885,430001
"ACS Technologies Group, Inc.","ACS Technologies Group, Inc.",Non-ILEC,0031300965,450167
Action Communications Inc.,"Action Communications, Inc.",Non-ILEC,0004329033,130010
Action Paging Corp,Action Paging Corp.,Non-ILEC,0032745960,480110
Active Solutions Group,Active Solutions Group,Non-ILEC,0023509540,430102
AcuityVOIP LLC,AcuityVOIP LLC,Non-ILEC,0026369710,360003
"Adak Eagle Enterprises, LLC","Adak Eagle Enterprises, LLC",ILEC,0012207346,130011
Adams CATV Inc.,Adams CATV Inc.,Non-ILEC,0004057147,190013
Adams Telephone Co-Operative,Adams Telephone Co-Operative,ILEC,0004339453,130012
Adams Telsystems Inc.,Adams Telephone Co-Operative,Non-ILEC,0004339487,130012
"AdamsComm, Inc.","AdamsComm, Inc.",Non-ILEC,0025217001,380004
Adcomm MDU Services LLC,"Adcomm MDU, LLC",Non-ILEC,0031861594,450159
addison county communications union district,Addison County Communications Union District,Non-ILEC,0032366692,480002
"Adirondack Techs, LLC",Adirondack Technical Solutions,Non-ILEC,0026494492,480003
"ADN Internet Telephone, LLC","ADN Internet Telephone, LLC",Non-ILEC,0026034157,360004
"adNET, Inc.","adNET, Inc.",Non-ILEC,0027239474,380005
Advanced Communications L.L.C,Advanced Communications LLC,Non-ILEC,0027249515,430183
Advanced Communications Technology,"Range Telephone Cooperative, Inc.",Non-ILEC,0004360731,131090
"Advanced Communications, Inc.","Advanced Communications, Inc.",Non-ILEC,0028057800,400059
"Advanced Global Communications, Inc.","Advanced Global Communications, Inc.",Non-ILEC,0026830133,400060
"Advanced Hosted Services, Inc.","Advanced Hosted Services, Inc.",Non-ILEC,0026459123,380006
Advanced Internet,Advanced Internet,Non-ILEC,0026541029,470122
"Advanced Network Communications, LLC",Long Lines,Non-ILEC,0005919022,130757
Advanced Network Management Inc.,Advanced Network Management Inc.,Non-ILEC,0025002452,380007
"Advanced Technology Distributors, Inc","Advanced Technology Distributors, Inc.",Non-ILEC,0020738241,300007
"Advanced Technology Group, LLC","Advanced Technology Group, LLC",Non-ILEC,0024392797,450155
Advanced Technology Solutions,"Advanced Technology Solutions, Inc.",Non-ILEC,0031303837,480004
"Advanced Telecommunications of Illinois, Inc.","Advanced Telecommunications of Illinois, Inc.",Non-ILEC,0030114102,440006
"Advanced Telephone Systems, Inc.","Hickory Utility Services, Inc.",Non-ILEC,0004427803,130609
"Advantage Cellular Systems, Inc.","DeKalb Telephone Cooperative, Inc.",Non-ILEC,0001768159,130396
Advantage Communications,Advantage Communications,Non-ILEC,0016379380,400001
"Advantage IT Management, Inc.","Advantage IT Management, Inc.",Non-ILEC,0027630540,390005
"Advantage IT Services, LLC","Advantage IT Services, LLC",Non-ILEC,0030313001,440007
"Advantage Voice & Data, LLC","Advantage Voice & Data, LLC",Non-ILEC,0031272677,440112
"Advent Technologies, Inc.","Advent Technologies, Inc.",Non-ILEC,0024652406,350007
"Aeneas Communications, LLC","Aeneas Communications, LLC",Non-ILEC,0009361080,190015
"AerioConnect, LLC","Broadband MDU Holdings, LLC",Non-ILEC,0030020846,460014
AeroFlight Internet,AeroFlight Internet,Non-ILEC,0027820828,380077
Aeronet Wireless Broadband LLC,Aeronet Wireless Broadband LLC,Non-ILEC,0014061097,370151
Aerux LLP,Aerux LLP,Non-ILEC,0022810253,370154
AFES Network Services LLC,AFES Network Services LLC,Non-ILEC,0022411730,270006
Affiliated Technology Solutions,"Affiliated Technology Solutions, LLC",Non-ILEC,0022412084,430184
"Affinity Tech Solutions, LLC",Affinity Technology Solutions LLC,Non-ILEC,0030367197,370008
