Broadband Provider Name,DBA Name,Holding Company,Consumer Support Phone Number,Consumer Website URL,States and Territories,Broadband Service Type,"Offering Connected Devices (Laptop, Desktop, or Tablet)?"
"T-Mobile USA, Inc.",,Deutsche Telekom AG,1-800-937-8997,https://www.t-mobile.com/customers/emergency-broadband-benefit,"AL, AZ, AR, CA, CO, CT, DE, DC, FL, GA, HI, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WV, WI, WY, PR, VI",Fixed Broadband or Mobile Broadband,No
Maxsip Telecom Corporation,,,1-866-629-7471,maxsiptel.com,"AL, AK, CO, CT, DC, FL, ID, IA, KS, MD, MA, MN, MS, MT, NJ, NY, NC, ND, OH, OK, OR, SC, TN, TX, VA",Fixed Broadband or Mobile Broadband,Yes
Conexon Connect LLC,,"Conexon, LLC",(202) 798-3884,www.conexonconnect.com,"GA, CO, MO",Fixed Broadband,No
Torch Wireless,,,1-877-998-6674,www.torchwireless.com,"AR, GA, ID, IN, IA, KS, KY, MI, MN, NE, NV, NJ, NM, NC, ND, OH, OK, RI, SD, TN, UT, VT, WA, WV, WI, WY",Mobile Broadband,Yes
"North American Local, LLC",,,8882473903,www.northamericanlocal.com,"AL, AK, AR, CA, FL, GA, IN, IA, KS, KY, MI, MN, NE, NV, NJ, NC, ND, OH, OK, RI, SD, TN, UT, WA, WV, WI, WY, PR",Mobile Broadband,Yes
Tone Communication Services LLC,,,8005158182,https://tonecomms.com/,"AZ, AR, DC, FL, GA, LA, MD, MS, NY, OK, OR, TX, WA",Fixed Broadband or Mobile Broadband,Yes
"Cintex Wireless, LLC",,,800-931-0141,https://www.cintexwireless.com,"AL, AK, AR, CA, CO, DE, GA, ID, IA, KS, KY, ME, MD, MI, MN, MS, MO, MT, NH, NJ, OK, OR, PA, RI, SC, TN, TX, WV, WI",Mobile Broadband,Yes
Dailytel Inc.,,,883-999-0427,www.dailytel.us,"AL, AK, CO, DC, FL, GA, IA, ID, IN, LA, MD, NH, NY, OH,OK, PA, TN, TX",Fixed Broadband or Mobile Broadband,Yes
"Viasat, Inc.",Viasat,"Viasat, Inc.",855-463-9333,www.viasat.com/ebb,"AL, AR, FL, IL, IN, KS, KY, LA, MS, MO, OK, TN, TX, VA",Fixed Broadband,No
"Excess Telecom, Inc.",,,800-615-0898,www.excesstelecom.com,"AL, AK, AZ, AR, CA, CO, CT, DE, DC, FL, GA, HI, ID, IL, IN, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VT, VA, WA, WV, WI, WY",Mobile Broadband,Yes
