"geoid_st","numb_bl","cnt_underserved_past","cnt_underserved_not_dsl","cnt_underserved_not_wireless","cnt_underserved_not_dsl_wireless"
"01","185976","7199","7818","9095","9765"
"02","28568","1227","1316","1258","1347"
"04","155444","9494","9779","14982","15372"
"05","136422","5478","6012","10120","10776"
"06","519723","13461","13852","34420","35012"
"08","140345","10640","10884","15045","15360"
"09","49926","40","40","70","70"
"10","20198","476","476","606","606"
"11","6012","3","3","30","30"
"12","390066","8622","10613","13712","16053"
"13","232717","7716","10997","10040","13783"
"15","14732","71","71","97","97"
"16","81879","6752","6902","11019","11197"
"17","369978","15956","16262","41755","42186"
"18","204568","7882","8183","20683","21073"
"19","175199","11188","13733","25177","29742"
"20","172529","12375","12598","23438","23666"
"21","132662","4803","6495","7462","9272"
"22","142874","6156","6264","7698","7855"
"23","47138","3203","3322","3300","3423"
"24","83827","1433","1433","1754","1754"
"25","107278","164","165","360","361"
"26","254730","7396","7516","18025","18231"
"27","198705","8203","8493","24468","24904"
"28","112241","4037","4397","5003","5396"
"29","253632","9359","9359","25756","25756"
"30","88417","6040","6042","7081","7084"
"31","119103","7234","8199","17860","20130"
"32","57409","1122","1590","2104","2693"
"33","31948","834","854","935","955"
"34","137972","166","167","386","388"
"35","107215","7340","7882","9322","10184"
"36","288819","1227","1355","2082","2227"
"37","236638","7831","8391","9760","10407"
"38","84566","383","384","1523","1524"
"39","276428","6728","6949","26390","26861"
"40","180154","12655","14708","22669","25052"
"41","130807","5785","6031","7250","7507"
"42","336985","5598","6785","8640","9946"
"44","25649","26","26","99","99"
"45","146844","3957","4191","5365","5663"
"46","71383","2393","2544","3156","3309"
"47","179717","3514","3919","5631","6046"
"48","668757","21624","24515","56328","60790"
"49","71207","1793","1877","4014","4107"
"50","24611","2745","2858","2866","2979"
"51","163491","4763","4868","6063","6168"
"53","158093","6233","7059","9315","10297"
"54","72558","2673","2674","3053","3054"
"55","203059","20289","21178","24686","25647"
"56","53769","2723","2813","5270","5389"
"60","565","256","256","256","256"
"66","1816","526","1097","526","1097"
"69","873","3","507","3","507"
"72","41987","1198","1198","2062","2062"
"78","2657","0","0","0","0"
