"geoid_st","cnt_total_locations","cnt_underserved","cnt_loc_underserved_dsl_excluded","number_block","cnt_underserved_block_dsl_excluded","cnt_underserved_block"
"01","2176002","78176","83428","185976","7818","7199"
"02","281309","22844","24209","28568","1316","1227"
"04","2696640","109432","111689","155444","9779","9494"
"05","1359311","64638","69544","136422","6012","5478"
"06","10224300","147946","152880","519723","13852","13461"
"08","1968886","88608","90980","140345","10884","10640"
"09","1091195","1289","1289","49926","40","40"
"10","401523","9207","9207","20198","476","476"
"11","123208","5","5","6012","3","3"
"12","7426863","122914","141878","390066","10613","8622"
"13","3796648","100898","128679","232717","10997","7716"
"15","308967","837","837","14732","71","71"
"16","738037","63772","65078","81879","6902","6752"
"17","4166670","90364","92960","369978","16262","15956"
"18","2713360","58375","60942","204568","8183","7882"
"19","1372819","63830","78835","175199","13733","11188"
"20","1204229","47106","48057","172529","12598","12375"
"21","1851005","64020","79849","132662","6495","4803"
"22","1875873","72988","74118","142874","6264","6156"
"23","631930","39578","40549","47138","3322","3203"
"24","1857192","19537","19537","83827","1433","1433"
"25","1954671","4140","4143","107278","165","164"
"26","4076669","87029","88456","254730","7516","7396"
"27","2098318","70500","73373","198705","8493","8203"
"28","1319976","40605","43212","112241","4397","4037"
"29","2509891","68915","68915","253632","9359","9359"
"30","488043","47088","47103","88417","6042","6040"
"31","797960","29865","34256","119103","8199","7234"
"32","983845","11247","15668","57409","1590","1122"
"33","518391","10903","11072","31948","854","834"
"34","2578933","2828","2831","137972","167","166"
"35","860769","59995","64039","107215","7882","7340"
"36","4715750","13033","14210","288819","1355","1227"
"37","4273900","135892","141758","236638","8391","7831"
"38","348661","1428","1431","84566","384","383"
"39","4515985","87118","90055","276428","6949","6728"
"40","1698280","104337","118569","180154","14708","12655"
"41","1504496","61723","63143","130807","6031","5785"
"42","4848216","53008","59970","336985","6785","5598"
"44","339030","382","382","25649","26","26"
"45","2153216","55820","57932","146844","4191","3957"
"46","399171","12008","13220","71383","2544","2393"
"47","2730981","44527","47047","179717","3919","3514"
"48","9844791","233210","253384","668757","24515","21624"
"49","1018752","20438","21132","71207","1877","1793"
"50","285333","30498","31284","24611","2858","2745"
"51","2920197","67255","68204","163491","4868","4763"
"53","2540953","76110","83471","158093","7059","6233"
"54","906872","28803","28807","72558","2674","2673"
"55","2313423","198104","203053","203059","21178","20289"
"56","262998","20940","21439","53769","2813","2723"
"60","8794","7032","7032","565","256","256"
"66","36960","18792","33513","1816","1097","526"
"69","9760","12","8005","873","507","3"
"72","1179988","32119","32119","41987","1198","1198"
"78","32285","0","0","2657","0","0"
