"","frn","cnt_co","cnt_services","cnt_locations","area_sqkm2","states"
"1","0000012609",3,6065,4826,452.310958,"{36}"
"2","0000012781",3,13942,9106,4795.352168,"{48}"
"3","0000013722",5,15192,9022,339.886684,"{20}"
"4","0000014936",5,36861,29551,1257.036624,"{36}"
"5","0000017640",11,34813,34607,326.244992,"{12}"
"6","0000017756",2,667,667,23.961069,"{55}"
"7","0001513068",9,52429,52429,3269.987131,"{48}"
"8","0001514090",4,521,521,81.786318,"{15}"
"9","0001520980",4,266627,224903,6380.941177,"{15}"
"10","0001543347",3,4610,4610,924.887456,"{06}"
"11","0001546068",1,4685,2758,245.431429,"{06}"
"12","0001549914",4,12468,12468,1157.239282,"{06}"
"13","0001551241",2,3770,3758,3539.066403,"{06}"
"14","0001551423",5,2714,2711,3316.897773,"{16,32}"
"15","0001551530",56,6468568,5939424,65719.929713,"{06,28}"
"16","0001551837",1,9584,6099,397.890812,"{06}"
"17","0001552173",13,181121,164732,2480.156923,"{32}"
"18","0001553585",2,37,37,112.68505,"{53}"
"19","0001559798",1,984,657,191.767557,"{41}"
"20","0001564186",1,26460,26460,2398.556829,"{53}"
"21","0001564293",2,13490,13388,3756.13308,"{53}"
"22","0001565829",1,7615,5503,219.223477,"{41}"
"23","0001566306",4,49336,49294,4061.773351,"{41}"
"24","0001566983",10,9728,9706,857.036932,"{19,31}"
"25","0001568880",22,173715,173715,13758.091283,"{02}"
"26","0001569466",1,178,178,414.390912,"{02}"
"27","0001571181",1,1135,1105,172.333677,"{02}"
"28","0001571561",4,6736,6736,1206.281944,"{02}"
"29","0001573427",6,60756,55151,10756.799919,"{02}"
"30","0001576628",1,7372,7371,187.78189,"{53}"
"31","0001583350",8,5328,5071,1510.820306,"{16,53}"
"32","0001584267",1,3844,3844,77.150211,"{53}"
"33","0001584275",2,580,580,1333.50051,"{53}"
"34","0001584960",7,6694,6694,5428.706827,"{02}"
"35","0001585397",2,11180,11180,948.077893,"{32}"
"36","0001587625",3,11979,9933,2100.70952,"{16,30}"
"37","0001596667",2,20678,12223,359.982344,"{04,32}"
"38","0001596717",2,3649,2496,4087.528895,"{32}"
"39","0001598457",1,25266,12633,45.385253,"{49}"
"40","0001601079",6,29170,26444,7692.595765,"{49}"
"41","0001601996",3,7004,3584,3637.097643,"{04}"
"42","0001604404",6,34560,19895,3100.59108,"{08,49}"
"43","0001607225",121,126375,126375,100079.827792,"{08,20,31,46,56}"
"44","0001607340",7,28737,21730,5953.461613,"{49}"
"45","0001607829",3,2704,2704,4192.979637,"{35}"
"46","0001607845",19,14732,14110,20102.453935,"{35,48}"
"47","0001611334",9,26630,23820,7188.581983,"{08,31}"
"48","0001615665",3,2718,2632,1539.76411,"{08}"
"49","0001615889",4,2302,2302,5074.078441,"{08,20}"
"50","0001616192",4,3730,3730,5886.391574,"{08}"
"51","0001616200",5,3622,1929,2104.253649,"{08}"
"52","0001616937",1,949,936,1526.715594,"{35}"
"53","0001621127",1,3494,3494,82.00924,"{08}"
"54","0001621531",1,108,108,14.714038,"{16}"
"55","0001623321",2,4245,4233,6805.102449,"{16}"
"56","0001628288",5,24647,24647,5271.367151,"{56}"
"57","0001629294",1,18275,18275,746.316411,"{30}"
"58","0001629781",4,2769,2267,4412.085087,"{08,56}"
"59","0001630532",3,7336,5197,1144.386118,"{16,56}"
"60","0001631084",2,427,236,330.915429,"{56}"
"61","0001637222",7,9286,5249,1803.611053,"{30}"
"62","0001643006",1,3972,2499,335.364837,"{30}"
"63","0001644798",7,5399,3837,3695.376451,"{48}"
"64","0001646140",11,5707,5401,23476.634775,"{30,56}"
"65","0001646454",14,23628,22447,27074.526167,"{30}"
"66","0001646587",21,21124,21050,35397.999661,"{30,38}"
"67","0001647734",1,1312,1312,1955.939994,"{30}"
"68","0001648039",3,1229,1229,4435.484744,"{30}"
"69","0001649078",8,289231,134516,16755.933382,"{48}"
"70","0001649847",5,8149,6484,4946.066191,"{04}"
"71","0001651009",5,217134,217134,6606.381066,"{06}"
"72","0001655125",4,10064,10039,505.77148,"{48}"
"73","0001664481",5,1748,1318,7181.154634,"{35,48}"
"74","0001667765",5,7288,7288,11097.309735,"{35}"
"75","0001676519",12,6393,6393,7221.383372,"{48}"
"76","0001677335",1,601,601,752.072032,"{48}"
"77","0001678044",4,17991,9223,3044.001465,"{48}"
"78","0001678788",11,31288,19272,2599.90394,"{48}"
"79","0001678804",5,1219,1219,4641.077204,"{48}"
"80","0001683630",5,2793,2792,690.526049,"{48}"
"81","0001684166",8,8492,7020,25447.559799,"{48}"
"82","0001685718",18,15488,9277,12405.702246,"{48}"
"83","0001687326",3,502,499,668.070293,"{48}"
"84","0001687557",7,4647,4457,7555.604416,"{48}"
"85","0001687813",3,25437,16742,1416.869777,"{48}"
"86","0001687979",15,365678,190783,14470.542641,"{48}"
"87","0001692268",1,3703,3703,34.342609,"{40}"
"88","0001698752",1,1810,1810,199.620667,"{40}"
"89","0001699412",4,1250,935,1197.11825,"{40}"
"90","0001699578",6,5085,3839,1927.637825,"{40}"
"91","0001699776",1,8109,8109,999.576998,"{40}"
"92","0001700186",3,1699,1624,554.377282,"{40}"
"93","0001700418",8,14807,14660,8689.878839,"{35,40,48}"
"94","0001700459",2,6273,5059,560.168457,"{40}"
"95","0001700616",7,13026,12736,2119.708805,"{40}"
"96","0001700632",4,10832,10832,485.979147,"{40}"
"97","0001700863",34,109498,75157,22855.866351,"{20,40,48}"
"98","0001700905",3,4177,3324,1012.233429,"{40}"
"99","0001700947",2,2187,2187,320.090906,"{40}"
"100","0001714567",1,2114,2114,847.823374,"{22}"
"101","0001715937",5,7881,7881,2041.816157,"{22,48}"
"102","0001717743",1,20745,20745,135.955219,"{05}"
"103","0001717859",1,4381,4381,277.637915,"{05}"
"104","0001730126",10,9096,8546,2509.131534,"{05,22,40}"
"105","0001730944",6,10272,7736,1415.761819,"{05}"
"106","0001730969",3,5034,5034,1046.388823,"{05}"
"107","0001731280",3,6659,4420,495.404588,"{05}"
"108","0001731470",78,1314141,979258,7624.99118,"{72}"
"109","0001731710",7,8593,8593,2824.271668,"{05}"
"110","0001731785",7,8358,7959,2342.580659,"{05,48}"
"111","0001731850",2,13153,10451,1688.337526,"{05}"
"112","0001732668",2,13682,13682,987.534159,"{05}"
"113","0001742170",25,16155,16155,5248.909396,"{28}"
"114","0001742501",5,3274,3274,771.975445,"{28}"
"115","0001745603",1,5719,5719,151.513784,"{01}"
"116","0001753557",49,1639526,1639526,9547.687638,"{01,12,13,26,45,47}"
"117","0001753870",3,2943,2943,1190.278025,"{01}"
"118","0001753938",2,4455,2938,413.065909,"{01}"
"119","0001754738",3,22845,22845,1553.230142,"{01}"
"120","0001756089",5,9031,9031,2786.585169,"{01,28}"
"121","0001758846",3,8612,8612,65.995702,"{47}"
"122","0001761766",1,2392,2392,57.811232,"{47}"
"123","0001762582",1,17702,17702,148.76959,"{47}"
"124","0001762939",1,27356,27356,535.48762,"{47}"
"125","0001768159",2,6052,6052,500.513542,"{47}"
"126","0001769405",1,4029,4029,53.768544,"{47}"
"127","0001772888",4,13497,13497,1119.132437,"{01,47}"
"128","0001773225",8,26192,26192,3672.422419,"{21,47}"
"129","0001773670",17,90312,44832,4773.928169,"{21,47}"
"130","0001775295",4,13674,13674,646.302456,"{01}"
"131","0001778893",1,7803,7803,171.844517,"{21}"
"132","0001779420",1,398,398,55.221745,"{21}"
"133","0001779594",3,2071,2071,134.790187,"{21}"
"134","0001783414",1,20001,20001,73.010043,"{21}"
"135","0001783612",1,4550,4550,122.665572,"{21}"
"136","0001783653",1,5824,5824,283.7729,"{21}"
"137","0001791995",7,37513,36634,2845.515581,"{21,51,54}"
"138","0001792563",1,7545,7545,518.349877,"{21}"
"139","0001792621",11,41350,41350,4480.822027,"{21,47}"
"140","0001792696",12,27920,27920,4006.564934,"{21}"
"141","0001813369",1,582,582,7.283945,"{12}"
"142","0001824325",1,726,726,44.884094,"{13}"
"143","0001825124",1,476,475,119.866843,"{13}"
"144","0001833193",14,11536,11536,2176.99634,"{13}"
"145","0001834696",153,7502887,7502887,40428.568192,"{04,05,06,09,12,13,16,19,20,22,25,29,31,32,37,39,40,44,51}"
"146","0001844554",69,239,239,156.949154,"{37}"
"147","0001855337",6,9136,8465,1596.38867,"{13}"
"148","0001856145",3,5560,3600,656.156752,"{13}"
"149","0001856236",10,9969,9969,1874.1721,"{13}"
"150","0001856400",1,7099,7099,669.239544,"{13}"
"151","0001856483",2,7350,7350,214.21829,"{13}"
"152","0001857598",5,11907,11907,2042.956018,"{13}"
"153","0001857952",640,15736990,12375555,358678.889372,"{01,12,13,21,22,28,37,45,47}"
"154","0001858760",8,51522,46708,2793.16113,"{13,37,47}"
"155","0001858927",1,1484,1484,168.62833,"{13}"
"156","0001859339",5,7709,7709,1382.615251,"{13}"
"157","0001886464",3,16829,16671,1720.916832,"{45}"
"158","0001886704",8,139562,65284,1767.426764,"{13,45}"
"159","0001886860",3,14615,14615,2367.911119,"{45}"
"160","0001886944",3,159415,159382,4250.272181,"{45}"
"161","0001886977",6,13838,13838,1882.119904,"{13,45}"
"162","0001887116",5,33792,33792,2089.015725,"{45}"
"163","0001887140",5,15299,15299,1197.92976,"{45}"
"164","0001887728",3,7568,7568,253.983524,"{37,45}"
"165","0001888718",6,69096,69091,1485.780301,"{37,45}"
"166","0001889245",3,26416,26416,1249.993226,"{45}"
"167","0001889617",3,45772,45772,230.473507,"{37,45}"
"168","0001912138",3,4336,4336,836.033582,"{37}"
"169","0001913979",1,2841,2534,13.23561,"{37}"
"170","0001940022",20,311402,311402,11669.812519,"{37}"
"171","0001951144",1,77849,59067,1246.47539,"{37}"
"172","0001959758",4,55234,30765,666.438753,"{37}"
"173","0001960673",5,13581,13581,1495.561808,"{37,47}"
"174","0001961416",5,18768,18768,862.174559,"{37,45}"
"175","0001962588",1,74,74,34.347018,"{37}"
"176","0002008043",4,5283,4299,1183.869751,"{54}"
"177","0002009405",2,2326,2326,223.324599,"{42,54}"
"178","0002061653",2,3522,3522,569.779323,"{51}"
"179","0002064145",93,337531,337531,11203.65737,"{21,24,42,51,54}"
"180","0002069862",4,7863,7829,1066.765612,"{47,51}"
"181","0002071579",1,2155,1171,101.826863,"{51}"
