"frn","provider_id","brand_name","cnt_locations","cnt_locations_services","has_copperwire","has_coaxial_cable","has_fiber","has_wireless","has_satel","array_agg"
"0000012609","240058 ","CATSKILL MOUNTAIN CABLEVISION","4060","4060",False,True,False,False,False,"{NY}"
"0000012609","240058 ","CATSKILL MOUNTAIN CABLEVISION CABLEVISION","2005","2005",False,True,True,False,False,"{NY}"
"0000012781","240068 ","Mountain Zone TV","9106","13942",False,True,False,True,False,"{TX}"
"0000013722","131087 ","RAINBOW COMMUNICATIONS LLC","9022","15192",False,True,True,False,False,"{KS}"
"0000014936","240058 ","MID-HUDSON CABLEVISION","29551","36861",False,True,True,False,False,"{NY}"
"0000017640","131060 ","BLUE STREAM","34607","34813",False,True,True,False,False,"{FL}"
"0000017756","240025 ","COMMUNITY ANTENNA SYSTEM INC","667","667",False,True,False,False,False,"{WI}"
"0001513068","430166 ","United Electric Cooperative Services","52429","52429",False,False,True,False,False,"{TX}"
"0001514090","131161 ","Sandwich Isles Communications","521","521",True,False,True,False,False,"{HI}"
"0001520980","130254 ","Hawaiian Telcom","224903","266627",True,False,True,False,False,"{HI}"
"0001543347","130189 ","CALTEL Connections","4610","4610",True,False,True,True,False,"{CA}"
"0001545748","131057 ","The Ponderosa Internet","9654","9654",True,False,True,False,False,"{CA}"
"0001546068","131173 ","Foresthill Telephone","2758","4685",True,False,True,False,False,"{CA}"
"0001546746","131416 ","Ducor Telephone Company","1274","1434",True,False,True,False,False,"{CA}"
"0001549914","131441 ","Volcano Vision","12468","12468",True,True,True,True,False,"{CA}"
"0001551241","131195 ","The Siskiyou Telephone Company","3758","3770",True,False,True,False,False,"{CA}"
"0001551423","130784 ","RURAL TELEPHONE COMPANY","2711","2714",True,True,True,False,False,"{ID,NV}"
"0001551530","130077 ","AT&T Inc","5939424","6468568",True,False,True,True,False,"{CA,MS}"
"0001551837","131173 ","Kerman Telephone","6099","9584",True,False,True,False,False,"{CA}"
"0001552173","130077 ","AT&T Inc","164732","181121",True,False,True,True,False,"{NV}"
"0001553585","130206 ","Day Wireless","37","37",False,False,True,False,False,"{WA}"
"0001559798","131130 ","Roome Telecommunications Inc","657","984",True,True,True,False,False,"{OR}"
"0001562388","131259 ","STAYTON COOPERATIVE TELEPHONE COMPANY","6575","6999",True,False,True,False,False,"{OR}"
"0001564186","140020 ","PUD No 1 of Chelan County","26460","26460",False,False,True,False,False,"{WA}"
"0001564293","300112 ","Public Utility District No.1 of Okanogan County","13388","13490",False,False,True,True,False,"{WA}"
"0001565316","131046 ","Pioneer Telephone Cooperative","15106","15106",True,False,True,False,False,"{OR}"
"0001565829","130104 ","Beaver Creek Cooperative Telephone Company","5503","7615",True,True,True,False,False,"{OR}"
"0001566165","430130 ","Hood River Electric Cooperative","3630","3630",False,False,True,True,False,"{OR}"
"0001566306","190126 ","Douglas Services, Inc.","49294","49336",False,True,True,False,False,"{OR}"
"0001566983","131043 ","Pinpoint Communications Inc","9706","9728",True,True,True,True,False,"{IA,NE}"
"0001568880","130534 ","GCI Communication Corp.","173715","173715",False,True,True,True,False,"{AK}"
"0001569466","150307 ","Summit Telephone and Telegraph Company","178","178",False,False,True,False,False,"{AK}"
"0001570936","130067 ","Arctic Slope Telephone Association Cooperative, Inc.","2668","2668",True,False,True,False,False,"{AK}"
"0001571181","130352 ","Cordova Telephone Cooperative","1105","1135",True,False,True,False,False,"{AK}"
"0001571561","130534 ","United Utilities, Inc.","6736","6736",True,False,True,False,False,"{AK}"
"0001572932","130349 ","Copper Valley Tel","9","9",False,False,False,True,False,"{AK}"
"0001572932","130349 ","Copper Valley Telephone","4836","4842",True,False,True,False,False,"{AK}"
"0001573427","130791 ","Matanuska Telecom Association Inc.","55142","60747",True,False,True,False,False,"{AK}"
"0001573427","130791 ","MTAC","9","9",False,False,True,False,False,"{AK}"
"0001576628","130303 ","Coast Communications Co Inc","7371","7372",False,True,True,False,False,"{WA}"
"0001583194","131475 ","ILEC","1146","1146",False,False,True,False,False,"{WA}"
"0001583350","130651 ","Inland Telephone Company","5071","5328",True,False,True,True,False,"{ID,WA}"
"0001584267","240031 ","DCI","3844","3844",False,True,False,False,False,"{WA}"
"0001584275","131047 ","Pioneer Telephone Company","580","580",True,False,True,False,False,"{WA}"
"0001584960","130029 ","Alaska Telephone Company","6694","6694",True,False,True,False,False,"{AK}"
"0001585397","130252 ","CC Communications Broadband","11180","11180",True,False,True,False,False,"{NV}"
"0001587625","130132 ","Fremont Telcom Co.","9933","11979",True,False,True,False,False,"{ID,MT}"
"0001590595","130580 ","LightBurst Broadband","2184","4422",True,False,True,True,False,"{UT}"
"0001596667","130206 ","Rio Virgin Telephone","12223","20678",True,False,True,False,False,"{AZ,NV}"
"0001596717","130743 ","Lincoln County Telephone System","2496","3649",True,False,True,True,False,"{NV}"
"0001598457","260069 ","SFCN","12633","25266",False,True,True,False,False,"{UT}"
"0001601079","131387 ","Strata Networks","26444","29170",False,False,True,True,False,"{UT}"
"0001601996","131357 ","Tohono O'odham Utility Authority","3584","7004",True,False,True,False,False,"{AZ}"
"0001603042","131411 ","Valley Telecom Group","9729","13047",True,False,True,True,False,"{AZ,NM}"
"0001604404","300132 ","River Canyon Wireless Inc","19895","34560",False,False,False,True,False,"{CO,UT}"
"0001607175","131219 ","SC BROADBAND","22401","26120",False,True,True,True,False,"{AZ,UT}"
"0001607175","131219 ","SOUTH CENTRAL COMMUNICATIONS","17977","18165",True,False,True,False,False,"{AZ,UT}"
"0001607225","130886 ","Viaero Wireless","126375","126375",False,False,False,True,False,"{CO,KS,NE,SD,WY}"
"0001607340","130453 ","DSL","21","21",True,False,False,False,False,"{UT}"
"0001607340","130453 ","EFIBER","13747","13747",False,False,True,True,False,"{UT}"
"0001607340","130453 ","EFIBER MOAB","4626","4626",False,False,True,False,False,"{UT}"
"0001607340","130453 ","EFIBER SANJUAN","2682","2682",False,False,True,False,False,"{UT}"
"0001607340","130453 ","EXSTREAM","7661","7661",False,True,False,False,False,"{UT}"
"0001607829","131131 ","Yucca Telecom","2704","2704",True,False,True,False,False,"{NM}"
"0001607845","130458 ","ENMR Telephone Cooperative","14110","14732",True,False,True,False,False,"{NM,TX}"
"0001611334","130692 ","Kentec Communications, Inc.","23820","26630",False,False,True,True,False,"{CO,NE}"
"0001615095","131190 ","Silver Star Communications","7682","11194",True,False,True,True,False,"{ID,WY}"
"0001615665","300192 ","Rye Telephone","2632","2718",True,False,True,False,False,"{CO}"
"0001615889","131049 ","Plains Cooperative Telephone Association, Inc.","2302","2302",False,False,True,False,False,"{CO,KS}"
"0001616192","131481 ","Wiggins Telephone Association","3730","3730",False,False,True,False,False,"{CO}"
"0001616200","131362 ","Haxtun Telephone Company","1929","3622",True,False,True,True,False,"{CO}"
"0001616754","370162 ","Ciello","5795","5823",False,False,True,True,False,"{CO}"
"0001616937","130708 ","La Jicarita Rural Telephone Cooperative","936","949",True,False,True,True,False,"{NM}"
"0001618008","130728 ","Leaco Rural Telephone Cooperative, Inc.","23773","27983",True,False,True,True,False,"{NM,TX}"
"0001621127","190084 ","Community Broadband Network","3494","3494",False,False,True,False,False,"{CO}"
"0001621531","470109 ","J & R Electronics","108","108",False,False,False,True,False,"{ID}"
"0001623321","130378 ","Custer Telephone Cooperative","4233","4245",True,True,True,True,False,"{ID}"
"0001623818","131075 ","Project Mutual Telephone Cooperative Association, Inc.","16721","20737",True,False,True,True,False,"{ID}"
"0001628288","250028 ","Collins Communications, LLC","24647","24647",False,False,False,True,False,"{WY}"
"0001629294","300125 ","Bullitt Communications","18275","18275",False,False,False,True,False,"{MT}"
"0001629781","131090 ","Dubois Telephone Exchange Inc.","2267","2769",True,False,True,True,False,"{CO,WY}"
"0001630201","360114 ","Union Telephone Company","11207","11240",True,False,True,True,False,"{UT,WY}"
"0001630532","131190 ","Silver Star Communications","5197","7336",True,False,True,True,False,"{ID,WY}"
"0001631084","220073 ","Chugwater Telephone Company","236","427",True,False,True,True,False,"{WY}"
"0001637222","131367 ","Triangle Communications","5249","9286",True,False,True,True,False,"{MT}"
"0001643006","131129 ","AccessMontana","2499","3972",True,False,True,True,False,"{MT}"
"0001644798","131476 ","Wes Tex Telephone Cooperative Inc","3837","5399",False,False,True,True,False,"{TX}"
"0001646140","131090 ","Range Telephone Cooperative Inc.","5401","5707",True,False,True,True,False,"{MT,WY}"
"0001646165","130132 ","Blackfoot Telephone Cooperative, Inc.","17392","20990",True,False,True,False,False,"{ID,MT}"
"0001646454","130002 ","3 Rivers Communications","22447","23628",True,False,True,False,False,"{MT}"
"0001646470","130890 ","Nemont","36538","75039",True,False,True,True,False,"{MT,ND,WY}"
"0001646587","130826 ","Mid-Rivers Communications","21050","21124",True,True,True,True,False,"{MT,ND}"
"0001647734","130744 ","LincTel Communications","1312","1312",True,False,True,False,False,"{MT}"
"0001648039","131231 ","Southern Montana Telephone Company","1229","1229",False,False,True,False,False,"{MT}"
"0001649078","130327 ","Comcell","134516","289231",False,False,True,True,False,"{TX}"
"0001649847","131057 ","Table Top Telephone","6484","8149",True,False,True,True,False,"{AZ}"
"0001650233","131512 ","XIT","6004","6005",False,False,True,True,False,"{TX}"
"0001651009","390008 ","Applied_Technology_Group_Inc","216801","216801",False,False,False,True,False,"{CA}"
"0001651009","390008 ","Applied_Technology_Group_Inc.","332","332",False,False,False,True,False,"{CA}"
"0001651009","390008 ","Applied_Technology_Group_IncApplied_Technology_Group_Inc","1","1",False,False,False,True,False,"{CA}"
"0001655125","131466 ","WT Services, Inc","10039","10064",True,False,True,False,False,"{TX}"
"0001664481","130400 ","Dell Telephone Cooperative","1318","1748",True,False,True,True,False,"{NM,TX}"
"0001665835","130464 ","Etex Communications","26252","41758",True,False,True,True,False,"{TX}"
"0001667765","160127 ","WESTERN NEW MEXICO TELEPHONE COMPANY, INC","7288","7288",True,False,False,False,False,"{NM}"
"0001675461","131383 ","Tularosa Communications, Inc.","23173","49012",True,False,True,True,False,"{NM}"
"0001676519","130199 ","Cap Rock Telephone Cooperative","6393","6393",True,False,True,False,False,"{TX}"
"0001677335","190233 ","Border to Border Communications, Inc.","601","601",False,False,True,False,False,"{TX}"
"0001678044","130307 ","Coleman County Telephone Coop, Inc","9223","17991",True,False,True,True,False,"{TX}"
"0001678788","131031 ","Peoples Communications","2621","2622",False,False,False,True,False,"{TX}"
"0001678788","131031 ","Peoples Telephone Cooperative","17889","28666",True,False,True,False,False,"{TX}"
"0001678804","131512 ","XIT","1219","1219",False,False,True,False,False,"{TX}"
"0001683630","130645 ","Industry Telephone Company","2792","2793",True,False,True,False,False,"{TX}"
"0001684166","130123 ","Big Bend Telephone Company, Inc","1755","1883",False,False,False,True,False,"{TX}"
"0001684166","130123 ","Big Bend Telephone Company, Inc.","6609","6609",True,False,True,False,True,"{TX}"
"0001685718","340001 ","Valley Telephone Cooperative, Inc.","9277","15488",True,False,True,True,False,"{TX}"
"0001685841","130612 ","Hill Country Telecommunications","13461","16138",False,False,True,True,False,"{TX}"
"0001685841","130612 ","Hill Country Telephone","19478","30516",True,False,True,True,False,"{TX}"
