"brand_name","state_abbr","technology","provider_id","cnt_services","cnt_bcat_locations","count"
"Viasat, Inc.","CA",60,"290111 ","20447364","10223682","407944"
"Viasat, Inc.","TX",60,"290111 ","19689244","9844622","510296"
"Viasat, Inc.","FL",60,"290111 ","14832172","7425998","313516"
"HughesNet","CA",60,"130627 ","10222605","10222605","407632"
"Starlink","CA",61,"430076 ","10221137","10221137","407700"
"HughesNet","TX",60,"130627 ","9844780","9844780","510305"
"Starlink","TX",61,"430076 ","9844078","9844078","510273"
"Viasat, Inc.","PA",60,"290111 ","9449966","4724983","284195"
"Viasat, Inc.","NY",60,"290111 ","9415210","4707605","242786"
"Viasat, Inc.","NC",60,"290111 ","8546156","4273078","190552"
"Viasat, Inc.","IL",60,"290111 ","8333242","4166621","308508"
"Viasat, Inc.","OH",60,"290111 ","8169196","4084598","218965"
"Viasat, Inc.","MI",60,"290111 ","8111460","4055730","211095"
"Viasat, Inc.","GA",60,"290111 ","7593248","3796624","182686"
"Starlink","FL",61,"430076 ","7426732","7426732","313548"
"HughesNet","FL",60,"130627 ","7425948","7425948","313480"
"T-Mobile US","TX",71,"130403 ","6645433","6645433","395041"
"T-Mobile US","CA",71,"130403 ","6597661","6597661","315847"
"Viasat, Inc.","VA",60,"290111 ","5840038","2920019","125851"
"Viasat, Inc.","TN",60,"290111 ","5461954","2730977","145701"
"Viasat, Inc.","IN",60,"290111 ","5426710","2713355","176092"
"Viasat, Inc.","AZ",60,"290111 ","5393280","2696640","116760"
"Viasat, Inc.","NJ",60,"290111 ","5157518","2578759","118550"
"Viasat, Inc.","WA",60,"290111 ","5059780","2529890","120501"
"Viasat, Inc.","MO",60,"290111 ","5019762","2509881","192878"
"HughesNet","PA",60,"130627 ","4848192","4848192","291879"
"Charter Communications Inc","CA",40,"130235 ","4844741","4844741","174805"
"T-Mobile US","FL",71,"130403 ","4801593","4801593","242864"
"Starlink","NY",61,"430076 ","4715704","4715704","243251"
"HughesNet","NY",60,"130627 ","4715569","4715569","243244"
"Viasat, Inc.","WI",60,"290111 ","4625896","2312948","158000"
"Starlink","PA",61,"430076 ","4616214","4616214","281652"
"HughesNet","OH",60,"130627 ","4515790","4515790","235166"
"Starlink","OH",61,"430076 ","4515737","4515737","235174"
"AT&T Inc","CA",10,"130077 ","4496014","4496014","219568"
"Charter Communications Inc","TX",40,"130235 ","4473377","4473377","192309"
"Viasat, Inc.","AL",60,"290111 ","4351624","2175812","143255"
"Viasat, Inc.","SC",60,"290111 ","4306282","2153141","115782"
"Starlink","NC",61,"430076 ","4273789","4273789","190564"
"HughesNet","NC",60,"130627 ","4273733","4273733","190543"
"Starlink","IL",61,"430076 ","4166598","4166598","308513"
"HughesNet","IL",60,"130627 ","4166214","4166214","308486"
"Starlink","MI",61,"430076 ","4076269","4076269","212977"
"HughesNet","MI",60,"130627 ","4075969","4075969","212904"
"Viasat, Inc.","CO",60,"290111 ","3937750","1968875","110412"
"Viasat, Inc.","MA",60,"290111 ","3907292","1953646","91859"
"Viasat, Inc.","MN",60,"290111 ","3895694","1947847","136452"
"HughesNet","GA",60,"130627 ","3796647","3796647","182686"
"Starlink","GA",61,"430076 ","3796609","3796609","182685"
"Viasat, Inc.","LA",60,"290111 ","3751722","1875861","101513"
"Viasat, Inc.","MD",60,"290111 ","3714018","1857009","68749"
"Viasat, Inc.","KY",60,"290111 ","3702010","1851005","100064"
"VERIZON","CA",71,"131425 ","3689727","3554542","297229"
"Xfinity","FL",40,"130317 ","3607857","3607857","147564"
"T-Mobile US","PA",71,"130403 ","3543088","3543088","246805"
"Xfinity","CA",40,"130317 ","3516588","3516588","128893"
"T-Mobile US","NY",71,"130403 ","3506570","3506570","208463"
"VERIZON","TX",71,"131425 ","3462608","3336717","356486"
"Charter Communications Inc","OH",40,"130235 ","3422841","3422841","162943"
"Viasat, Inc.","OK",60,"290111 ","3396554","1698277","140336"
"T-Mobile US","OH",71,"130403 ","3318572","3318572","199398"
"Xfinity","PA",40,"130317 ","3238402","3238402","173142"
"Charter Communications Inc","NC",40,"130235 ","3164029","3164029","135583"
"T-Mobile US","NC",71,"130403 ","3112365","3112365","162568"
"Nextera Wireless","MN",70,"200032 ","3056558","764143","33716"
