"state_abbr","brand_name","technology","count"
"CA","101Netlink",71,"64790"
"MN","1136785653",10,"1"
"MN","1136785658",10,"1"
"MN","1136785660",10,"1"
"MN","1136785662",10,"1"
"MN","1136785663",10,"1"
"MN","1136785664",10,"1"
"MN","1136785665",10,"1"
"MN","1136785669",10,"1"
"MN","1136785673",10,"1"
"MN","1136785808",10,"1"
"MN","1136785814",10,"1"
"MN","1136785846",10,"1"
"MN","1136785878",10,"1"
"MN","1136787577",10,"1"
"MN","1136787578",10,"1"
"MN","1136787579",10,"1"
"MN","1136787580",10,"1"
"MN","1136787585",10,"1"
"MN","1136787591",10,"1"
"MN","1136787594",10,"1"
"MN","1136787599",10,"1"
"MN","1136787600",10,"1"
"MN","1136787610",10,"1"
"MI","123.NET Inc",50,"36266"
"MI","123.NET Inc",70,"29658"
"MI","123.NET Inc",71,"49978"
"MI","186networks",50,"2023"
"MI","186networks",70,"40980"
"MI","186networks",72,"28723"
"VA","1 Point Communications",50,"15"
"VA","1 Point Communications",70,"25"
"WI","24-7 TELCOM, INC",10,"63"
"WI","24-7 TELCOM, INC",50,"3000"
"LA","318HighSpeed",70,"1668"
"AR","360 Communications INC",70,"4515"
"AR","360 Communications INC",71,"22225"
"OK","360 Communications INC",50,"305"
"OK","360 Communications INC",70,"39997"
"OK","360 Communications INC",71,"74375"
"OK","360 Communications INC",72,"29227"
"TX","360 Communications INC",71,"582"
"TX","360 Communications INC",72,"9"
"OR","360 Communications, LLC",70,"3490"
"WA","360 Communications, LLC",70,"14583"
"MT","3 Rivers Communications",10,"4903"
"MT","3 Rivers Communications",50,"18725"
"MS","4-County Fiber, LLC",50,"37273"
"PR","4Net INC",70,"61956"
"IL","4 SIWI LLc",70,"42"
"IL","4 SIWI LLC",50,"2252"
"IL","4 SIWI LLC",70,"17928"
"TX","5G-X",70,"48826"
"OR","600Amps Internet Services",70,"5592"
"MN","702 Communications",10,"4"
"MN","702 Communications",50,"143"
"MN","702 Communications",71,"163"
"ND","702 Communications",10,"24"
"ND","702 Communications",50,"503"
"ND","702 Communications",71,"333"
"TX","903 Broadband",50,"257"
"OK","903 Broadband, Inc",70,"71"
"TX","903 Broadband, Inc",70,"40695"
"UT","9Stone",70,"2978"
"AZ","A",40,"3"
"WV","A&ACommunicationsLLC",40,"310"
"WV","A&ACommunicationsLLC",50,"792"
"IL","AaroBand",70,"456"
"LA","Acadianabroadband",70,"14166"
"GA","Accelecom GA LLC",50,"9"
"CA","Accel Wireless",70,"16530"
"CA","Accel Wireless",72,"22210"
"KY","Access Cable",40,"2873"
"KY","Access Cable",50,"2873"
"TX","ACCESS FIBER",50,"3006"
"MT","AccessMontana",10,"1957"
"MT","AccessMontana",50,"1530"
"MT","AccessMontana",70,"485"
"AZ","Accipiter Communications Inc DBA Zona Wyyerd",10,"4"
"AZ","Accipiter Communications Inc DBA Zona Wyyerd",50,"13809"
"IN","ACD.net",50,"2335"
"MI","ACD.net",50,"143266"
"OH","ACD.net",50,"29794"
"IA","Acentek",50,"2854"
"IA","Acentek",70,"3685"
"IA","Acentek",72,"191"
"MI","Acentek",50,"13409"
"MN","Acentek",50,"7754"
"MN","Acentek",70,"1700"
"MN","Acentek",72,"2005"
"IA","ACENTEK",10,"2616"
"MI","ACENTEK",10,"6618"
"MN","ACENTEK",10,"5713"
"IN","AcmeCommuniationsInc",50,"2055"
"WI","Acrospire Networks",70,"1694"
"WI","Acrospire Networks",72,"1464"
"AK","Adak Eagle Enterprises",50,"305"
"NY","Adams_CATV_Inc",40,"5417"
"PA","Adams_CATV_Inc",40,"32128"
"IL","Adams Telephone Co-Operative",50,"5441"
"IL","Adams Telsystems Inc.",50,"25412"
"MO","Adams Telsystems Inc.",50,"52"
"NY","Adirondack Broadband",50,"677"
"NY","Adirondack Broadband",70,"186"
"NY","Adirondack Internet",70,"65"
"WY","Advanced Communications Technology, Inc.",10,"196"
"WY","Advanced Communications Technology, Inc.",50,"647"
"WY","Advanced Communications Technology, Inc.",70,"6332"
"WY","Advanced Communications Technology, Inc.",72,"9029"
"WA","Advanced High Speed Internet",70,"47209"
"WA","Advanced High Speed Internet",72,"20700"
"GA","Advanced Technology Group",70,"11"
"SC","Advanced Technology Group",70,"4"
"CA","Advanced Wireless",70,"467"
"TN","Advantage Cellular Systems, Inc.",50,"6052"
"KS","Advantage Communications",70,"1400"
"TN","Aeneas Communications, LLC",50,"44659"
"PR","Aeronet Wireless Broadband",71,"525784"
"PR","Aeronet Wireless Broadband",72,"340585"
"PR","Aeronet Wireless Broadband LLC",50,"473"
"PR","Aeronet Wireless Broadband LLC",70,"568939"
"VI","Aeronet Wireless Broadband LLC",70,"185"
"CO","Agate Mutual Telephone Cooperative Association, Inc",10,"83"
"CO","Agate Mutual Telephone Cooperative Association, Inc",50,"87"
"IN","Agile Networks",71,"1"
"OH","Agile Networks",70,"531495"
"OH","Agile Networks",71,"214677"
"OH","Agile Networks",72,"167884"
"ID","Airbridge Broadband",70,"12381"
"ID","Airbridge Broadband",72,"95"
"IL","AirCell",50,"986"
"IL","AirCell",70,"4379"
"AZ","AireBeam",40,"110"
"AZ","AireBeam",50,"5200"
"AZ","AireBeam",70,"42348"
"AR","AIRECAST",50,"15051"
"LA","AIRECAST",50,"3604"
"MO","Aire Internet",70,"33792"
"MN","Airfiber Inc",70,"40248"
"MN","Airfiber Inc",71,"9755"
"WI","Airfiber Inc",70,"10052"
"WI","Airfiber Inc",71,"5110"
"TX","AirFiber, LLC",71,"1162"
"AZ","AIRFIBER WISP LLC",70,"933847"
"GA","AirFi, Inc.",72,"178"
"MT","AirGrids",70,"3987"
"TN","Airhawk Wireless",70,"818"
"OK","AirLink Internet Services",70,"10628"
"MO","Air Link Rural Broadband, LLC",50,"4482"
"MO","Air Link Rural Broadband, LLC",70,"37323"
"WI","AirNet",70,"21393"
"ME","AiroComm",70,"251"
"OK","Airosurf Communications",70,"45460"
"WI","AirRunner Networks LLC",70,"619"
"IN","Airwave Networks  LLC",50,"19"
"IN","Airwave Networks  LLC",70,"1088"
"PA","Airwaves",70,"2935"
"PA","Airwaves",71,"2935"
"AL","Alabama Lightwave",70,"66"
"GA","Alamo Broadband",70,"115"
"TX","Alamo Broadband",50,"9"
"TX","Alamo Broadband",70,"44"
"AK","AlasConnect LLC",50,"33"
"AK","ALASKA COMMUNICATIONS",10,"61889"
"AK","ALASKA COMMUNICATIONS",50,"413"
"AK","ALASKA COMMUNICATIONS",70,"8489"
"AK","ALASKA COMMUNICATIONS",71,"5312"
"AK","Alaska Telephone Company",10,"4617"
"AK","Alaska Telephone Company",50,"1963"
"MN","Albany Mutual Telephone Association",10,"54"
"MN","Albany Mutual Telephone Association",50,"4174"
"TX","Alenco Communications, Inc.",10,"10"
"TX","Alenco Communications, Inc.",50,"3214"
"TX","Alenco Communications, Inc.",70,"29"
"PR","ALE-NET INC",70,"16544"
"IA","Algona Municipal Utilities",40,"2215"
"IA","Algona Municipal Utilities",50,"790"
"IL","Alhambra-Grantfork Telephone Company",50,"1497"
"CO","AlignTec Incorporated",50,"8"
"CO","AlignTec Incorporated",70,"14192"
"CO","AlignTec Incorporated",71,"1"
"IA","Allamakee-Clayton Electric Inc",50,"1126"
"IA","Allamakee-Clayton Electric Inc",70,"908"
"MI","Allband Communications Cooperative",50,"172"
"MI","Allband Multimedia",50,"2016"
"MI","Allband Multimedia",70,"287"
"LA","Allens Communications",40,"20319"
"LA","Allens Communications",50,"5121"
"IA","Alliance Communications Cooperative, Inc.",50,"2404"
"MN","Alliance Communications Cooperative, Inc.",50,"751"
"SD","Alliance Communications Cooperative, Inc.",50,"15739"
"DC","Allied Telecom Group, LLC",10,"115"
"DC","Allied Telecom Group, LLC",40,"6"
"DC","Allied Telecom Group, LLC",50,"100"
"MA","Allied Telecom Group, LLC",50,"1"
"MD","Allied Telecom Group, LLC",10,"24"
"MD","Allied Telecom Group, LLC",40,"5"
"MD","Allied Telecom Group, LLC",50,"52"
"NC","Allied Telecom Group, LLC",50,"1"
"NJ","Allied Telecom Group, LLC",50,"1"
"NY","Allied Telecom Group, LLC",50,"5"
"VA","Allied Telecom Group, LLC",10,"32"
"VA","Allied Telecom Group, LLC",50,"44"
"AZ","Allo Communications, LLC",50,"2449"
"CO","Allo Communications, LLC",50,"16407"
"NE","Allo Communications, LLC",50,"187616"
"IL","Allpoint NetworX, Inc.",40,"372"
"IL","Allpoint NetworX, Inc.",50,"1276"
"KY","All Points Broadband",50,"534"
"KY","All Points Broadband",70,"42863"
"MD","All Points Broadband",70,"5769"
