"geoid_bl","tot_loc","cnt_ms"
"500019601001000",19,"28"
"500019601001001",26,"25"
"500019601001002",10,"8"
"500019601001003",56,"61"
"500019601001004",NULL,"0"
"500019601001005",2,"1"
"500019601001006",1,"0"
"500019601001007",2,"2"
"500019601001008",21,"32"
"500019601001009",8,"8"
"500019601001010",1,"2"
"500019601001011",21,"41"
"500019601001012",NULL,"0"
"500019601001013",1,"2"
"500019601001014",5,"5"
"500019601001015",106,"130"
"500019601001016",2,"1"
"500019601001017",6,"9"
"500019601001018",8,"12"
"500019601001019",14,"17"
"500019601001020",5,"4"
"500019601001021",9,"14"
"500019601001022",5,"6"
"500019601001023",5,"9"
"500019601001024",15,"21"
"500019601001025",6,"5"
"500019601001026",11,"19"
"500019601001027",5,"6"
"500019601001028",26,"32"
"500019601001029",4,"7"
"500019601001030",12,"17"
"500019601001031",3,"2"
"500019601001032",1,"5"
"500019601001033",4,"3"
"500019601001034",4,"3"
"500019601001035",1,"1"
"500019601001036",1,"3"
"500019601001037",53,"82"
"500019601001038",3,"4"
"500019601001039",1,"3"
"500019601001040",3,"2"
"500019601001041",12,"13"
"500019601001042",4,"4"
"500019601001043",5,"5"
"500019601001044",NULL,"0"
"500019601001045",4,"5"
"500019601001046",12,"18"
"500019601001047",4,"8"
"500019601001048",4,"6"
"500019601001049",3,"6"
"500019601001050",1,"2"
"500019601002000",13,"18"
"500019601002001",10,"8"
"500019601002002",4,"4"
"500019601002003",14,"16"
"500019601002004",3,"3"
"500019601002005",10,"13"
"500019601002006",21,"22"
"500019601002007",5,"6"
"500019601002008",77,"98"
"500019601002009",8,"20"
"500019601002010",2,"3"
"500019601002011",8,"19"
"500019601002012",6,"10"
"500019601002013",NULL,"0"
"500019601002014",1,"2"
"500019601002015",3,"13"
"500019601002016",6,"11"
"500019601002017",NULL,"0"
"500019601002018",NULL,"0"
"500019601002019",1,"1"
"500019601002020",1,"1"
"500019601002021",1,"6"
"500019601002022",NULL,"0"
"500019601002023",1,"0"
"500019601002024",9,"19"
"500019601002025",8,"13"
"500019601002026",NULL,"0"
"500019601002027",5,"10"
"500019601002028",2,"4"
"500019601002029",12,"22"
"500019601002030",NULL,"0"
"500019601002031",17,"33"
"500019601002032",NULL,"0"
"500019601002033",2,"4"
"500019601002034",17,"31"
"500019601002035",25,"35"
"500019601002036",23,"24"
"500019601002037",2,"2"
"500019601002038",10,"10"
"500019601002039",5,"6"
"500019601003000",1,"1"
"500019601003001",3,"5"
"500019601003002",NULL,"0"
"500019601003003",3,"5"
"500019601003004",13,"19"
"500019601003005",1,"2"
"500019601003006",1,"3"
"500019601003007",19,"32"
"500019601003008",NULL,"0"
"500019601003009",3,"7"
"500019601003010",27,"32"
"500019601003011",19,"38"
"500019601003012",66,"78"
"500019601003013",2,"3"
"500019601003014",NULL,"2"
"500019601003015",17,"20"
"500019601003016",4,"14"
"500019601003017",NULL,"0"
"500019601003018",NULL,"0"
"500019601003019",NULL,"0"
"500019601003020",8,"23"
"500019601003021",NULL,"0"
"500019601003022",2,"2"
"500019601003023",NULL,"0"
"500019601003024",47,"64"
"500019601003025",NULL,"0"
"500019601003026",5,"10"
"500019601003027",NULL,"0"
"500019601003028",42,"54"
"500019601003029",NULL,"0"
"500019601003030",2,"4"
"500019601003031",18,"24"
"500019601003032",1,"2"
"500019601003033",3,"4"
"500019601003034",2,"3"
"500019601003035",100,"139"
"500019601003036",4,"5"
"500019601003037",4,"4"
"500019601003038",18,"35"
"500019601003039",NULL,"0"
"500019601003040",2,"3"
"500019601003041",NULL,"0"
"500019601003042",2,"5"
"500019601003043",NULL,"0"
"500019601003044",1,"4"
"500019601003045",21,"25"
"500019601003046",1,"0"
"500019601003047",1,"4"
"500019601003048",2,"2"
"500019601003049",NULL,"0"
"500019601003050",NULL,"0"
"500019601003051",5,"7"
"500019601003052",3,"7"
"500019601003053",NULL,"0"
"500019601003054",NULL,"0"
"500019601003055",59,"79"
"500019601003056",5,"7"
"500019601003057",2,"3"
"500019601003058",2,"1"
"500019601003059",NULL,"0"
"500019601003060",NULL,"0"
"500019601003061",2,"2"
"500019601003062",NULL,"0"
"500019601003063",17,"29"
"500019601003064",2,"3"
"500019601003065",3,"3"
"500019601003066",17,"26"
"500019601003067",4,"7"
"500019601003068",9,"19"
"500019601003069",NULL,"0"
"500019601003070",2,"3"
"500019601003071",1,"3"
"500019601003072",33,"31"
"500019601003073",1,"3"
"500019601003074",1,"7"
"500019601003075",6,"11"
"500019601003076",NULL,"0"
"500019601003077",1,"1"
"500019601003078",1,"5"
"500019601003079",NULL,"0"
"500019601003080",5,"10"
"500019601003081",4,"5"
"500019601003082",NULL,"0"
"500019601003083",2,"4"
"500019601003084",NULL,"0"
"500019601003085",2,"3"
"500019601003086",NULL,"0"
"500019601003087",NULL,"0"
"500019601003088",5,"9"
"500019601003089",8,"11"
"500019601003090",13,"21"
"500019601003091",11,"18"
"500019601003092",9,"12"
"500019601003093",20,"30"
"500019601003094",14,"17"
"500019601003095",2,"5"
"500019601003096",4,"6"
"500019601003097",7,"8"
"500019601003098",23,"28"
"500019601003099",11,"16"
"500019601003100",3,"5"
"500019601003101",NULL,"0"
"500019601003102",1,"5"
"500019601003103",NULL,"0"
"500019601003104",18,"26"
"500019601003105",8,"13"
"500019601003106",13,"19"
"500019601003107",3,"3"
"500019601003108",2,"9"
"500019601003109",NULL,"0"
"500019601003110",NULL,"0"
"500019601003111",13,"18"
"500019601003112",1,"1"
"500019601003113",NULL,"1"
"500019601003114",5,"9"
"500019601003115",1,"3"
"500019601003116",NULL,"0"
